B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
4,8,21,36,43,8,2023-01-14 00:00:00,revancha,2259
2,23,25,33,34,10,2023-01-14 00:00:00,baloto,2259
8,9,33,35,42,13,2023-01-18 00:00:00,revancha,2260
10,29,30,32,36,4,2023-01-18 00:00:00,baloto,2260
6,11,13,16,42,12,2023-01-21 00:00:00,revancha,2261
2,7,12,21,37,9,2023-01-21 00:00:00,baloto,2261
17,20,26,33,38,1,2023-01-25 00:00:00,revancha,2262
5,7,10,22,31,12,2023-01-25 00:00:00,baloto,2262
8,18,27,40,42,8,2023-01-28 00:00:00,revancha,2263
2,14,15,28,40,5,2023-01-28 00:00:00,baloto,2263
8,12,23,37,38,16,2023-02-01 00:00:00,revancha,2264
8,12,16,26,39,6,2023-02-01 00:00:00,baloto,2264
5,6,18,26,42,9,2023-02-04 00:00:00,revancha,2265
1,10,14,32,39,10,2023-02-04 00:00:00,baloto,2265
9,21,23,28,38,12,2023-02-08 00:00:00,revancha,2266
3,8,12,13,43,7,2023-02-08 00:00:00,baloto,2266
7,20,25,26,30,11,2023-02-11 00:00:00,revancha,2267
8,11,17,29,42,13,2023-02-11 00:00:00,baloto,2267
1,19,35,36,39,8,2023-02-15 00:00:00,revancha,2268
7,15,22,25,35,9,2023-02-15 00:00:00,baloto,2268
5,7,10,13,31,14,2023-02-18 00:00:00,revancha,2269
7,20,25,30,38,4,2023-02-18 00:00:00,baloto,2269
10,16,26,32,35,14,2023-02-22 00:00:00,revancha,2270
6,8,13,14,22,12,2023-02-22 00:00:00,baloto,2270
20,26,29,37,38,12,2023-02-25 00:00:00,revancha,2271
12,14,20,32,35,9,2023-02-25 00:00:00,baloto,2271
1,12,38,39,41,16,2023-03-01 00:00:00,revancha,2272
16,23,36,39,42,11,2023-03-01 00:00:00,baloto,2272
1,5,11,28,31,15,2023-03-04 00:00:00,revancha,2273
4,5,12,24,33,12,2023-03-04 00:00:00,baloto,2273
