B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
7,15,22,25,35,9,2023-02-15 00:00:00,baloto,2268
7,20,25,30,38,4,2023-02-18 00:00:00,baloto,2269
6,8,13,14,22,12,2023-02-22 00:00:00,baloto,2270
12,14,20,32,35,9,2023-02-25 00:00:00,baloto,2271
16,23,36,39,42,11,2023-03-01 00:00:00,baloto,2272
4,5,12,24,33,12,2023-03-04 00:00:00,baloto,2273
24,26,35,36,41,7,2023-03-08 00:00:00,baloto,2274
9,13,15,27,31,15,2023-03-11 00:00:00,baloto,2275
2,4,18,23,39,5,2023-03-15 00:00:00,baloto,2276
2,15,16,30,37,3,2023-03-18 00:00:00,baloto,2277
1,16,21,34,35,14,2023-03-22 00:00:00,baloto,2278
4,17,24,27,40,4,2023-03-25 00:00:00,baloto,2279
21,22,23,31,39,6,2023-03-29 00:00:00,baloto,2280
1,4,11,22,25,6,2023-04-01 00:00:00,baloto,2281
4,5,7,36,37,1,2023-04-05 00:00:00,baloto,2282
3,5,12,19,20,5,2023-04-08 00:00:00,baloto,2283
11,20,24,29,35,2,2023-04-12 00:00:00,baloto,2284
19,21,28,29,30,12,2023-04-15 00:00:00,baloto,2285
15,18,19,32,36,8,2023-04-19 00:00:00,baloto,2286
17,18,32,37,43,6,2023-04-22 00:00:00,baloto,2287
4,10,13,27,43,2,2023-04-26 00:00:00,baloto,2288
7,20,26,33,39,7,2023-04-29 00:00:00,baloto,2289
9,13,22,39,41,16,2023-05-03 00:00:00,baloto,2290
8,26,27,28,42,7,2023-05-06 00:00:00,baloto,2291
13,14,15,25,32,14,2023-05-10 00:00:00,baloto,2292
6,14,33,35,39,14,2023-05-13 00:00:00,baloto,2293
3,5,15,25,29,11,2023-05-17 00:00:00,baloto,2294
3,4,23,35,42,7,2023-05-20 00:00:00,baloto,2295
1,6,27,29,39,8,2023-05-24 00:00:00,baloto,2296
6,10,21,24,33,2,2023-05-27 00:00:00,baloto,2297
2,5,23,40,43,7,2023-05-31 00:00:00,baloto,2298
9,27,30,39,41,10,2023-06-03 00:00:00,baloto,2299
1,9,16,19,31,16,2023-06-07 00:00:00,baloto,2300
9,13,21,38,43,11,2023-06-10 00:00:00,baloto,2301
3,11,14,39,40,1,2023-06-14 00:00:00,baloto,2302
9,11,13,35,43,7,2023-06-17 00:00:00,baloto,2303
9,25,27,31,42,4,2023-06-21 00:00:00,baloto,2304
8,15,23,24,42,14,2023-06-24 00:00:00,baloto,2305
12,16,32,38,43,11,2023-06-28 00:00:00,baloto,2306
14,26,27,35,37,3,2023-07-01 00:00:00,baloto,2307
4,16,17,23,29,3,2023-07-05 00:00:00,baloto,2308
13,15,30,38,41,3,2023-07-08 00:00:00,baloto,2309
10,27,31,35,43,13,2023-07-12 00:00:00,baloto,2310
2,15,27,33,35,16,2023-07-15 00:00:00,baloto,2311
2,13,18,19,32,13,2023-07-19 00:00:00,baloto,2312
14,15,21,40,42,11,2023-07-22 00:00:00,baloto,2313
5,6,17,27,41,13,2023-07-26 00:00:00,baloto,2314
5,9,11,14,24,4,2023-07-29 00:00:00,baloto,2315
5,19,24,25,37,13,2023-08-02 00:00:00,baloto,2316
4,7,19,23,32,2,2023-08-05 00:00:00,baloto,2317
3,12,22,24,25,6,2023-08-09 00:00:00,baloto,2318
19,20,29,31,40,11,2023-08-12 00:00:00,baloto,2319
3,10,20,31,41,6,2023-08-16 00:00:00,baloto,2320
5,10,11,25,33,4,2023-08-19 00:00:00,baloto,2321
4,15,23,24,33,12,2023-08-23 00:00:00,baloto,2322
5,14,22,37,43,13,2023-08-26 00:00:00,baloto,2323
4,8,16,27,31,7,2023-08-30 00:00:00,baloto,2324
1,3,20,29,39,1,2023-09-02 00:00:00,baloto,2325
9,33,34,41,43,7,2023-09-06 00:00:00,baloto,2326
15,18,22,34,42,3,2023-09-09 00:00:00,baloto,2327
7,11,28,38,39,2,2023-09-13 00:00:00,baloto,2328
6,29,32,39,43,16,2023-09-16 00:00:00,baloto,2329
2,3,10,21,23,14,2023-09-20 00:00:00,baloto,2330
13,20,24,30,42,12,2023-09-23 00:00:00,baloto,2331
2,20,25,36,41,11,2023-09-27 00:00:00,baloto,2332
10,15,19,21,41,10,2023-09-30 00:00:00,baloto,2333
6,22,29,30,31,10,2023-10-04 00:00:00,baloto,2334
6,23,25,37,40,15,2023-10-07 00:00:00,baloto,2335
3,5,12,23,36,1,2023-10-11 00:00:00,baloto,2336
4,15,26,27,29,9,2023-10-14 00:00:00,baloto,2337
20,21,26,29,40,9,2023-10-18 00:00:00,baloto,2338
12,18,25,34,43,13,2023-10-21 00:00:00,baloto,2339
15,22,25,28,33,7,2023-10-25 00:00:00,baloto,2340
5,20,33,36,43,10,2023-10-28 00:00:00,baloto,2341
5,9,19,30,37,6,2023-11-01 00:00:00,baloto,2342
1,2,12,30,36,1,2023-11-04 00:00:00,baloto,2343
3,11,18,27,33,9,2023-11-08 00:00:00,baloto,2344
8,11,13,25,32,6,2023-11-11 00:00:00,baloto,2345
5,16,26,28,38,8,2023-11-15 00:00:00,baloto,2346
3,19,26,27,29,6,2023-11-18 00:00:00,baloto,2347
15,18,19,30,42,2,2023-11-22 00:00:00,baloto,2348
